catchment;mod_type;rmse;nrmse;mae;nmae;nse;kge;mod_mean;measured_mean;mod_top1;measured_top1;mod_low5;measured_low5;cor
Emme Short Calibration;xgb;7.06;0.6;3.54;0.301;0.774;0.641;11.35;11.77;62.15;70.17;1.37;1.78;0.883
Emme Short Calibration;lgbm;6.51;0.553;3.3;0.281;0.807;0.695;11.48;11.77;61.69;70.17;1.81;1.78;0.9
Emme Short Calibration;mlp;7.91;0.672;3.95;0.336;0.715;0.742;12.19;11.77;72.37;70.17;2.85;1.78;0.847
Emme Short Calibration;lstm;10.96;0.931;5.58;0.474;0.454;0.427;11.72;11.77;53.58;70.19;1.65;1.78;0.676
Emme Short Calibration;gru;11.03;0.937;5.44;0.462;0.447;0.448;11.94;11.77;54.22;70.19;1.65;1.78;0.672
Emme Short Calibration;svr;7.79;0.662;3.51;0.299;0.724;0.615;11.05;11.77;61.79;70.17;1.92;1.78;0.854
Plessur Short Calibration;xgb;2.95;0.522;1.74;0.309;0.774;0.789;5.49;5.64;23.4;28.4;0.66;0.51;0.881
Plessur Short Calibration;lgbm;3;0.532;1.8;0.32;0.766;0.799;5.56;5.64;23.46;28.4;0.66;0.51;0.876
Plessur Short Calibration;mlp;3.45;0.612;2.14;0.379;0.691;0.751;5.93;5.64;23.2;28.4;1.26;0.51;0.835
Plessur Short Calibration;lstm;3.28;0.58;1.97;0.35;0.721;0.86;5.64;5.65;24.01;28.4;0.39;0.51;0.862
Plessur Short Calibration;gru;3.32;0.587;2.04;0.362;0.715;0.804;5.94;5.65;20.98;28.4;0.77;0.51;0.851
Plessur Short Calibration;svr;3.02;0.535;1.88;0.333;0.763;0.769;5.36;5.64;22.27;28.4;0.16;0.51;0.875
Rosegbach Short Calibration;xgb;1.41;0.473;0.69;0.23;0.871;0.841;2.93;2.99;13.17;14.48;0.09;0.08;0.933
Rosegbach Short Calibration;lgbm;1.41;0.47;0.68;0.229;0.873;0.85;2.95;2.99;13.25;14.48;0.08;0.08;0.934
Rosegbach Short Calibration;mlp;1.52;0.508;0.74;0.247;0.851;0.647;2.61;2.99;11.22;14.48;0.18;0.08;0.934
Rosegbach Short Calibration;lstm;1.75;0.586;0.84;0.281;0.801;0.669;2.7;2.99;11.84;14.48;0.07;0.08;0.901
Rosegbach Short Calibration;gru;2;0.668;0.97;0.326;0.742;0.462;2.32;2.99;10.58;14.48;0.09;0.08;0.895
Rosegbach Short Calibration;svr;1.46;0.49;0.74;0.247;0.862;0.857;2.91;2.99;13.15;14.48;0.09;0.08;0.929
Venoge  Short Calibration;xgb;1.91;0.497;1.02;0.266;0.842;0.692;3.6;3.85;20.61;24.62;0.54;0.47;0.922
Venoge  Short Calibration;lgbm;1.87;0.487;1.03;0.269;0.848;0.777;3.65;3.85;22.84;24.62;0.51;0.47;0.922
Venoge  Short Calibration;mlp;2.04;0.531;1.08;0.282;0.819;0.903;3.72;3.85;25.68;24.62;0.67;0.47;0.911
Venoge  Short Calibration;lstm;2.8;0.728;1.4;0.365;0.66;0.706;3.8;3.85;22.36;24.62;0.51;0.47;0.815
Venoge  Short Calibration;gru;3.04;0.79;1.62;0.422;0.599;0.445;3.85;3.85;17.09;24.62;0.94;0.47;0.778
Venoge  Short Calibration;svr;1.89;0.49;1.18;0.306;0.846;0.83;3.78;3.85;23.95;24.62;0.28;0.47;0.92
Kander Short Calibration;xgb;6.93;0.344;4.02;0.2;0.815;0.748;20.08;20.13;61.17;74.19;5.23;5.35;0.903
Kander Short Calibration;lgbm;7.02;0.349;4.02;0.2;0.81;0.736;20.08;20.13;61.28;74.19;5.3;5.35;0.9
Kander Short Calibration;mlp;6.91;0.343;3.93;0.195;0.816;0.77;19.52;20.13;71.1;74.19;5.94;5.35;0.904
Kander Short Calibration;lstm;8.6;0.427;4.88;0.242;0.715;0.806;19.92;20.14;65.62;74.2;4.6;5.35;0.85
Kander Short Calibration;gru;8.53;0.424;4.84;0.241;0.719;0.679;20.1;20.14;54.23;74.2;6.11;5.35;0.848
Kander Short Calibration;svr;6.93;0.344;3.91;0.194;0.815;0.758;19.89;20.13;62.74;74.19;5.12;5.35;0.903
Verzasca Short Calibration;xgb;6.99;0.706;2.77;0.279;0.844;0.782;9.84;9.9;85.04;91.26;1.37;1.35;0.919
Verzasca Short Calibration;lgbm;6.74;0.68;2.86;0.289;0.855;0.825;9.85;9.9;87.1;91.26;1.34;1.35;0.925
Verzasca Short Calibration;mlp;7.62;0.77;3.35;0.339;0.814;0.891;10.46;9.9;99.1;91.26;1.99;1.35;0.909
Verzasca Short Calibration;lstm;12.21;1.232;5.03;0.508;0.524;0.543;10.39;9.91;72.1;91.33;0.93;1.35;0.728
Verzasca Short Calibration;gru;12.47;1.258;5.06;0.51;0.504;0.515;9.91;9.91;70.93;91.33;0.6;1.35;0.713
Verzasca Short Calibration;svr;8.71;0.88;3.52;0.355;0.758;0.655;10.01;9.9;78.88;91.26;1.17;1.35;0.872
Ticino Short Calibration;xgb;25.98;0.41;15.74;0.248;0.821;0.71;61.56;63.35;283.65;313.76;24.01;18.89;0.908
Ticino Short Calibration;lgbm;26.54;0.419;16.35;0.258;0.813;0.749;62.36;63.35;285.71;313.76;22.45;18.89;0.902
Ticino Short Calibration;mlp;28.2;0.445;15.71;0.248;0.789;0.663;59.05;63.35;317.17;313.76;27.7;18.89;0.893
Ticino Short Calibration;lstm;38.97;0.615;18.85;0.297;0.598;0.558;59.88;63.38;260.13;313.86;24.72;18.88;0.775
Ticino Short Calibration;gru;40.91;0.645;19.99;0.315;0.556;0.513;56.45;63.38;245.29;313.86;22.21;18.88;0.755
Ticino Short Calibration;svr;29.02;0.458;15.62;0.246;0.777;0.693;61.37;63.35;283.98;313.76;23.36;18.89;0.883
Broye Short Calibration;xgb;4.49;0.59;2.04;0.268;0.804;0.746;7.61;7.62;45.84;51.46;1.44;1.17;0.897
Broye Short Calibration;lgbm;4.66;0.611;2.13;0.279;0.79;0.806;7.64;7.62;47.24;51.46;1.18;1.17;0.889
Broye Short Calibration;mlp;5.2;0.683;2.34;0.307;0.737;0.846;7.39;7.62;49;51.46;1.57;1.17;0.865
Broye Short Calibration;lstm;7.13;0.936;3.34;0.438;0.506;0.531;7.92;7.62;39.04;51.46;1.73;1.17;0.716
Broye Short Calibration;gru;7.5;0.983;3.77;0.494;0.455;0.55;8.74;7.62;44.69;51.46;2.84;1.17;0.697
Broye Short Calibration;svr;4.47;0.586;2.3;0.302;0.806;0.763;7.69;7.62;48.21;51.46;1.27;1.17;0.898
Thur Short Calibration;xgb;19.74;0.436;10.25;0.226;0.856;0.796;45.51;45.3;228.35;243.1;7.86;8.79;0.926
Thur Short Calibration;lgbm;19.93;0.44;10.51;0.232;0.854;0.808;45.57;45.3;224.61;243.1;8.46;8.79;0.924
Thur Short Calibration;mlp;21.58;0.476;10.54;0.233;0.828;0.857;47.31;45.3;249.49;243.1;11.82;8.79;0.912
Thur Short Calibration;lstm;38.54;0.85;18.94;0.418;0.453;0.463;47.13;45.32;206.36;243.14;10.49;8.79;0.678
Thur Short Calibration;gru;40.61;0.896;20.92;0.462;0.393;0.506;48.47;45.32;211.26;243.14;4.73;8.79;0.65
Thur Short Calibration;svr;25.33;0.559;10.8;0.238;0.764;0.735;45.03;45.3;231.42;243.1;10.01;8.79;0.874
